258  gxc: -15.45, gyc: -18.96, gzc: 27.17, gx: -1766, gy: -2167, gz: 3105
axc: 0.82, ayc: -0.61, azc: 0.57, ax: 13488, ay: -10081, az: 9308
mxc: 0.66, mxy: 0.28, mzc: 0.05, mx: 4701, my: 2026, mz: 372

537  gxc: -2.49, gyc: 33.22, gzc: -106.81, gx: -285, gy: 3797, gz: -12207
axc: 0.61, ayc: -0.73, azc: 0.51, ax: 10069, ay: -11919, az: 8373
mxc: 0.57, mxy: 0.35, mzc: 0.04, mx: 4036, my: 2498, mz: 254

765  gxc: -17.96, gyc: 53.45, gzc: -77.37, gx: -2053, gy: 6109, gz: -8842
axc: 0.35, ayc: -0.68, azc: 0.49, ax: 5792, ay: -11186, az: 7980
mxc: 0.43, mxy: 0.41, mzc: 0.05, mx: 3074, my: 2935, mz: 372

994  gxc: -14.66, gyc: 15.47, gzc: -28.32, gx: -1675, gy: 1768, gz: -3237
axc: 0.26, ayc: -0.83, azc: 0.50, ax: 4316, ay: -13640, az: 8160
mxc: 0.35, mxy: 0.41, mzc: 0.03, mx: 2477, my: 2952, mz: 203

1222  gxc: -14.06, gyc: -9.25, gzc: 16.53, gx: -1607, gy: -1057, gz: 1889
axc: 0.28, ayc: -0.78, azc: 0.56, ax: 4525, ay: -12770, az: 9105
mxc: 0.35, mxy: 0.41, mzc: 0.01, mx: 2512, my: 2939, mz: 61

1448  gxc: -45.72, gyc: -79.69, gzc: 80.77, gx: -5225, gy: -9107, gz: 9231
axc: 0.42, ayc: -0.74, azc: 0.66, ax: 6812, ay: -12097, az: 10793
mxc: 0.41, mxy: 0.39, mzc: -0.03, mx: 2937, my: 2770, mz: -184

1681  gxc: -15.74, gyc: -15.49, gzc: 64.42, gx: -1799, gy: -1770, gz: 7362
axc: 0.44, ayc: -0.60, azc: 0.70, ax: 7228, ay: -9877, az: 11530
mxc: 0.50, mxy: 0.32, mzc: -0.09, mx: 3555, my: 2311, mz: -614

1911  gxc: 1.83, gyc: -7.85, gzc: 13.85, gx: 209, gy: -897, gz: 1583
axc: 0.44, ayc: -0.48, azc: 0.74, ax: 7147, ay: -7918, az: 12122
mxc: 0.55, mxy: 0.28, mzc: -0.11, mx: 3919, my: 2030, mz: -782

2166  gxc: -7.25, gyc: -10.83, gzc: 28.06, gx: -828, gy: -1238, gz: 3207
axc: 0.40, ayc: -0.26, azc: 0.81, ax: 6515, ay: -4338, az: 13328
mxc: 0.57, mxy: 0.25, mzc: -0.13, mx: 4079, my: 1757, mz: -907

2395  gxc: 48.99, gyc: 84.52, gzc: -32.80, gx: 5599, gy: 9659, gz: -3748
axc: 0.58, ayc: -0.35, azc: 0.66, ax: 9486, ay: -5808, az: 10820
mxc: 0.60, mxy: 0.25, mzc: -0.08, mx: 4318, my: 1820, mz: -562

